Date,<TICKER>,<OPEN>,<CLOSE>,<VOL>,Year,Country,GDP,GNI (USD),Population,Exchange Rate (AMA)
06-29,USNM,947.5,950.26,101768494.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
06-30,USNM,949.27,949.35,109612841.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
07-01,USNM,955.74,962.07,107225260.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
07-05,USNM,962.07,962.33,126757936.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
07-06,USNM,966.88,968.85,133341194.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
07-07,USNM,970.55,964.0,110810252.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
07-08,USNM,968.99,980.24,121717843.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
07-11,USNM,981.73,983.69,109663505.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
07-12,USNM,984.51,986.81,114824739.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
07-13,USNM,988.92,985.44,91444280.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
07-14,USNM,985.3,984.69,101160102.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
07-15,USNM,985.35,986.26,84125267.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
07-18,USNM,988.61,986.85,85323974.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
07-19,USNM,987.17,982.37,76766397.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
07-20,USNM,981.15,980.64,84484269.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
07-21,USNM,982.07,981.05,78511536.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
07-22,USNM,982.5,988.72,89599033.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
07-25,USNM,988.2,977.15,88313070.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
07-26,USNM,976.91,979.13,89415904.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
07-27,USNM,981.95,984.61,88078535.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
07-28,USNM,987.09,985.84,82975000.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
07-29,USNM,986.67,987.3,96893891.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
08-01,USNM,986.12,987.72,88537577.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
08-02,USNM,990.95,980.66,110396441.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
08-03,USNM,979.68,988.26,88852145.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
08-04,USNM,988.06,990.5,86637496.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
08-05,USNM,988.41,993.49,92919270.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
08-08,USNM,998.01,998.66,92813549.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
08-09,USNM,1000.98,999.31,85812611.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
08-10,USNM,1003.66,997.78,89835949.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
08-11,USNM,1002.05,1002.55,105527512.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
08-12,USNM,1004.74,1001.84,112629915.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
08-15,USNM,1004.76,1006.8,87255629.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
08-16,USNM,1004.72,1002.86,84993900.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
08-17,USNM,1002.84,1001.31,95143085.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
08-18,USNM,1004.0,1007.33,80036517.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
08-19,USNM,1005.09,1003.61,82611863.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
08-22,USNM,1003.72,1003.68,80492906.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
08-23,USNM,1003.62,1002.79,74291498.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
08-24,USNM,1001.73,990.64,94634066.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
08-25,USNM,990.27,990.78,78775793.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
08-26,USNM,994.41,989.03,89842589.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
08-29,USNM,990.33,992.03,71305919.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
08-30,USNM,993.15,986.55,80983256.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
08-31,USNM,985.88,983.41,100819186.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
09-01,USNM,983.25,985.24,96081422.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
09-02,USNM,988.57,993.75,86497665.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
09-06,USNM,1001.64,1009.11,136916612.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
09-07,USNM,1008.51,1005.69,116403706.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
09-08,USNM,1008.81,1014.82,98934312.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
09-09,USNM,1010.86,993.09,138592882.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
09-12,USNM,993.25,1000.66,120185554.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
09-13,USNM,996.37,984.03,106570798.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
09-14,USNM,986.26,986.42,94937778.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
09-15,USNM,986.39,989.27,97427702.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
09-16,USNM,988.75,989.77,242655997.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
09-19,USNM,995.74,996.48,69891818.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
09-20,USNM,998.75,994.52,70172400.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
09-21,USNM,995.2,1000.53,215191209.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
09-22,USNM,1004.55,1001.01,137332312.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
09-23,USNM,1001.32,998.03,98567309.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
09-26,USNM,998.64,993.84,89359992.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
09-27,USNM,991.4,988.03,107068061.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
09-28,USNM,989.93,993.23,99260951.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
09-29,USNM,993.89,991.85,103315940.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
09-30,USNM,997.58,996.89,117876096.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
10-03,USNM,997.0,994.83,80767652.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
10-04,USNM,992.86,979.37,113660351.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
10-05,USNM,980.44,980.56,97236209.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
10-06,USNM,979.06,974.39,88103159.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
10-07,USNM,977.28,976.16,88147970.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
10-10,USNM,977.9,978.43,62586210.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
10-11,USNM,979.71,968.8,76951445.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
10-12,USNM,970.07,969.93,84140715.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
10-13,USNM,967.68,963.06,89210626.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
10-14,USNM,964.86,958.02,71526656.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
10-17,USNM,955.14,950.04,70377442.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
10-18,USNM,954.4,955.85,77966946.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
10-19,USNM,958.25,961.49,83687617.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
10-20,USNM,962.51,960.25,76229562.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
10-21,USNM,959.85,958.43,80675238.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
10-24,USNM,960.38,953.89,74248238.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
10-25,USNM,954.07,953.31,88158799.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
10-26,USNM,951.86,944.56,78350122.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
10-27,USNM,945.19,935.46,70252369.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
10-28,USNM,935.75,933.08,87389506.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
10-31,USNM,933.41,929.42,73642498.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
11-01,USNM,932.39,928.92,105114824.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
11-02,USNM,930.85,919.7,130272020.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
11-03,USNM,918.49,909.98,88863362.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
11-04,USNM,911.89,911.49,93401142.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
11-07,USNM,915.94,921.94,83431725.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
11-08,USNM,920.43,922.7,73814313.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
11-09,USNM,919.29,934.58,117280808.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
11-10,USNM,934.82,931.01,144069859.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
11-11,USNM,932.41,933.15,132451042.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
11-14,USNM,933.46,931.92,112641088.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
11-15,USNM,934.25,939.84,110954360.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
11-16,USNM,942.81,938.9,94393649.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
11-17,USNM,937.13,937.43,110924866.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
11-18,USNM,937.7,942.31,117934936.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
11-21,USNM,948.34,952.79,146841685.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
11-22,USNM,953.31,954.64,137003361.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
11-23,USNM,950.61,950.7,110582315.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
11-25,USNM,951.96,954.76,55291655.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
11-28,USNM,956.75,946.92,95690636.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
11-29,USNM,944.42,943.9,103831865.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
11-30,USNM,948.09,944.63,139102978.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
12-01,USNM,944.83,937.27,132241053.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
12-02,USNM,935.37,933.74,116939330.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
12-05,USNM,937.15,942.13,126488939.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
12-06,USNM,943.87,947.2,134739592.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
12-07,USNM,949.1,952.89,134167484.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
12-08,USNM,955.86,959.15,163178775.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
12-09,USNM,963.94,962.73,177778765.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
12-12,USNM,967.11,959.21,155505349.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
12-13,USNM,958.84,956.42,137128651.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
12-14,USNM,958.73,945.15,149493745.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
12-15,USNM,941.52,940.72,149359097.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
12-16,USNM,941.91,944.48,225957367.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
12-19,USNM,945.63,944.82,141968783.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
12-20,USNM,944.17,949.08,116033446.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
12-21,USNM,949.3,948.14,94178798.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
12-22,USNM,948.94,947.54,116022170.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
12-23,USNM,944.94,953.23,103027477.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
12-27,USNM,955.09,953.98,110475856.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
12-28,USNM,953.3,950.0,112195062.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
12-29,USNM,952.17,954.51,124808631.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
12-30,USNM,954.7,952.38,138863564.0,2016,United States,18700000000000.0,19000000000000.0,327210198,1.0
01-03,USNM,958.42,962.5,141760921.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
01-04,USNM,968.85,971.42,126734185.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
01-05,USNM,977.05,976.87,141442329.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
01-06,USNM,979.51,977.18,140181795.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
01-09,USNM,982.54,977.57,230570657.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
01-10,USNM,981.75,984.81,163159506.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
01-11,USNM,989.08,986.65,156333653.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
01-12,USNM,990.53,982.25,128975475.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
01-13,USNM,985.7,988.73,114108851.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
01-17,USNM,994.38,986.22,170266674.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
01-18,USNM,987.05,981.91,131382849.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
01-19,USNM,980.96,979.04,137887187.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
01-20,USNM,980.45,984.21,116268659.0,2017,United States,19500000000000.0,19900000000000.0,329791231,1.0
