Country,Date,<OPEN>,<CLOSE>,<VOL>,GDP,GNI (USD),Population,Exchange Rate (AMA)
Poland,2017-12-17,820.2906666666667,819.2180000000001,41965631.06666667,525000000000.0,502000000000.0,38532812.0,3.779333333
Poland,2017-12-24,810.862,808.6800000000001,42435709.06666667,525000000000.0,502000000000.0,38532812.0,3.779333333
Poland,2017-12-31,805.0,807.79,57418747.55555555,525000000000.0,502000000000.0,38532812.0,3.779333333
Poland,2018-01-07,872.3758333333334,876.9516666666667,37697152.166666664,589000000000.0,564000000000.0,38521457.0,3.611716667
Poland,2018-01-14,884.3129999999999,884.436,30544184.7,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-01-21,894.253,896.1139999999999,29396271.5,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-01-28,897.6605,895.7284999999999,30178933.3,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-02-04,889.9200000000001,887.9565,31083053.3,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-02-11,866.7325000000001,864.9680000000001,37389882.3,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-02-18,868.863,868.3615,31018180.15,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-02-25,863.3765,862.4780000000001,23244677.65,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-03-04,852.406,848.617,37107065.65,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-03-11,844.445,845.2284999999999,27615290.2,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-03-18,846.024,843.751,38293275.75,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-03-25,834.173,832.9649999999999,30551849.35,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
Poland,2018-04-01,826.369375,822.401875,29522629.375,589000000000.0,564000000000.0,38521457.0,3.611716667
Poland,2018-04-08,818.511875,818.16625,31791266.8125,589000000000.0,564000000000.0,38521457.0,3.611716667
Poland,2018-04-15,822.9739999999999,822.8995000000001,27899485.15,589000000000.0,564000000000.0,38521457.0,3.6117166670000005
